text,href
宋英宗,/wiki/%E5%AE%8B%E8%8B%B1%E5%AE%97
齐明帝,/wiki/%E9%BD%90%E6%98%8E%E5%B8%9D
王继鹏,/wiki/%E7%8E%8B%E7%BB%A7%E9%B9%8F
元文宗,/wiki/%E5%85%83%E6%96%87%E5%AE%97
元武宗,/wiki/%E5%85%83%E6%AD%A6%E5%AE%97
秦宗权,/wiki/%E7%A7%A6%E5%AE%97%E6%9D%83
晋哀帝,/wiki/%E6%99%8B%E5%93%80%E5%B8%9D
晋愍帝,/wiki/%E6%99%8B%E6%84%8D%E5%B8%9D
齐武成帝,/wiki/%E9%BD%90%E6%AD%A6%E6%88%90%E5%B8%9D
李期,/wiki/%E6%9D%8E%E6%9C%9F
李势,/wiki/%E6%9D%8E%E5%8A%BF
王延政,/wiki/%E7%8E%8B%E5%BB%B6%E6%94%BF
陈友谅,/wiki/%E9%99%88%E5%8F%8B%E8%B0%85
明玉珍,/wiki/%E6%98%8E%E7%8E%89%E7%8F%8D
元英宗,/wiki/%E5%85%83%E8%8B%B1%E5%AE%97
秦二世,/wiki/%E7%A7%A6%E4%BA%8C%E4%B8%96
孺子婴,/wiki/%E5%AD%BA%E5%AD%90%E5%A9%B4
溥仪,/wiki/%E6%BA%A5%E5%84%80
郭威,/wiki/%E9%83%AD%E5%A8%81
萧宝卷,/wiki/%E8%90%A7%E5%AE%9D%E5%8D%B7
唐庄宗,/wiki/%E5%94%90%E5%BA%84%E5%AE%97
唐哀帝,/wiki/%E5%94%90%E5%93%80%E5%B8%9D
元廓,/wiki/%E5%85%83%E5%BB%93
元钦,/wiki/%E5%85%83%E9%92%A6
赫连定,/wiki/%E8%B5%AB%E8%BF%9E%E5%AE%9A
赫连昌,/wiki/%E8%B5%AB%E8%BF%9E%E6%98%8C
晋明帝,/wiki/%E6%99%8B%E6%98%8E%E5%B8%9D
唐敬宗,/wiki/%E5%94%90%E6%95%AC%E5%AE%97
唐末帝,/wiki/%E5%94%90%E6%9C%AB%E5%B8%9D
刘承祐,/wiki/%E5%8A%89%E6%89%BF%E7%A5%90
慕容盛,/wiki/%E6%85%95%E5%AE%B9%E7%9B%9B
吴世璠,/wiki/%E5%90%B4%E4%B8%96%E7%92%A0
萧道成,/wiki/%E8%90%A7%E9%81%93%E6%88%90
魏孝庄帝,/wiki/%E9%AD%8F%E5%AD%9D%E5%BA%84%E5%B8%9D
魏孝武帝,/wiki/%E9%AD%8F%E5%AD%9D%E6%AD%A6%E5%B8%9D
周明帝,/wiki/%E5%91%A8%E6%98%8E%E5%B8%9D
刘守光,/wiki/%E5%88%98%E5%AE%88%E5%85%89
李希烈,/wiki/%E6%9D%8E%E5%B8%8C%E7%83%88
史思明,/wiki/%E5%8F%B2%E6%80%9D%E6%98%8E
冉闵,/wiki/%E5%86%89%E9%97%B5
吕隆,/wiki/%E5%90%95%E9%9A%86
高绍义,/wiki/%E9%AB%98%E7%BB%8D%E4%B9%89
陈伯宗,/wiki/%E9%99%88%E4%BC%AF%E5%AE%97
晋康帝,/wiki/%E6%99%8B%E5%BA%B7%E5%B8%9D
慕容云,/wiki/%E6%85%95%E5%AE%B9%E4%BA%91
慕容宝,/wiki/%E6%85%95%E5%AE%B9%E5%AE%9D
张献忠,/wiki/%E5%BC%A0%E7%8C%AE%E5%BF%A0
梁元帝,/wiki/%E6%A2%81%E5%85%83%E5%B8%9D
梁简文帝,/wiki/%E6%A2%81%E7%AE%80%E6%96%87%E5%B8%9D
梁敬帝,/wiki/%E6%A2%81%E6%95%AC%E5%B8%9D
萧琮,/wiki/%E8%90%A7%E7%90%AE
萧庄,/wiki/%E8%90%A7%E5%BA%84
汉更始帝,/wiki/%E6%B1%89%E6%9B%B4%E5%A7%8B%E5%B8%9D
汉烈祖,/wiki/%E6%B1%89%E7%83%88%E7%A5%96
宋少帝,/wiki/%E5%AE%8B%E5%B0%91%E5%B8%9D
宋顺帝,/wiki/%E5%AE%8B%E9%A1%BA%E5%B8%9D
王世充,/wiki/%E7%8E%8B%E4%B8%96%E5%85%85
安庆绪,/wiki/%E5%AE%89%E5%BA%86%E7%BB%AA
宋端宗,/wiki/%E5%AE%8B%E7%AB%AF%E5%AE%97
宋恭帝,/wiki/%E5%AE%8B%E6%81%AD%E5%B8%9D
周静帝,/wiki/%E5%91%A8%E9%9D%99%E5%B8%9D
苻生,/wiki/%E8%8B%BB%E7%94%9F
宋高祖,/wiki/%E5%AE%8B%E6%AD%A6%E5%B8%9D
陈武帝,/wiki/%E9%99%88%E6%AD%A6%E5%B8%9D
史朝义,/wiki/%E5%8F%B2%E6%9C%9D%E4%B9%89
晋恭帝,/wiki/%E6%99%8B%E6%81%AD%E5%B8%9D
刘子业,/wiki/%E5%88%98%E5%AD%90%E4%B8%9A
刘盆子,/wiki/%E5%88%98%E7%9B%86%E5%AD%90
姚泓,/wiki/%E5%A7%9A%E6%B3%93
仲家,/wiki/%E4%BB%B2%E5%AE%B6_(%E4%B8%9C%E6%B1%89)
袁术,/wiki/%E8%A2%81%E6%9C%AF
董昌,/wiki/%E8%91%A3%E6%98%8C
萧纪,/wiki/%E8%90%A7%E7%BA%AA
魏节闵帝,/wiki/%E9%AD%8F%E8%8A%82%E9%97%B5%E5%B8%9D
汉质帝,/wiki/%E6%B1%89%E8%B4%A8%E5%B8%9D
宋钦宗,/wiki/%E5%AE%8B%E9%92%A6%E5%AE%97
齐孝昭帝,/wiki/%E9%BD%90%E5%AD%9D%E6%98%AD%E5%B8%9D
石弘,/wiki/%E7%9F%B3%E5%BC%98
石祗,/wiki/%E7%9F%B3%E7%A5%97
苻丕,/wiki/%E8%8B%BB%E4%B8%95
吕纂,/wiki/%E5%90%95%E7%BA%82
慕容冲,/wiki/%E6%85%95%E5%AE%B9%E5%86%B2
明绍宗,/wiki/%E9%9A%86%E6%AD%A6%E5%B8%9D
李自成,/wiki/%E6%9D%8E%E8%87%AA%E6%88%90
齐和帝,/wiki/%E9%BD%90%E5%92%8C%E5%B8%9D
萧昭业,/wiki/%E8%90%A7%E6%98%AD%E4%B8%9A
后汉高祖,/wiki/%E5%90%8E%E6%B1%89%E9%AB%98%E7%A5%96
明安宗,/wiki/%E5%BC%98%E5%85%89%E5%B8%9D
安禄山,/wiki/%E5%AE%89%E7%A6%84%E5%B1%B1
皇泰主,/wiki/%E7%9A%87%E6%B3%B0%E4%B8%BB
宋幼主,/wiki/%E8%B5%B5%E6%98%BA
刘玢,/wiki/%E5%8A%89%E7%8E%A2
明仁宗,/wiki/%E6%98%8E%E4%BB%81%E5%AE%97
周宣帝,/wiki/%E5%91%A8%E5%AE%A3%E5%B8%9D
高殷,/wiki/%E9%AB%98%E6%AE%B7
晋简文帝,/wiki/%E6%99%8B%E7%AE%80%E6%96%87%E5%B8%9D
朱友珪,/wiki/%E6%9C%B1%E5%8F%8B%E7%8F%AA
拓跋余,/wiki/%E6%8B%93%E8%B7%8B%E4%BD%99
天皇,/wiki/%E5%A4%A9%E7%9A%87_(%E6%9C%B1%E6%B3%9A)
朱泚,/wiki/%E6%9C%B1%E6%B3%9A
刘懿,/wiki/%E5%88%98%E6%87%BF
北魏安定王,/wiki/%E5%85%83%E6%9C%97_(%E5%AE%89%E5%AE%9A%E7%8E%8B)
刘子勋,/wiki/%E5%8A%89%E5%AD%90%E5%8B%9B
汉殇帝,/wiki/%E6%BC%A2%E6%AE%A4%E5%B8%9D
杨浩,/wiki/%E6%9D%A8%E6%B5%A9
吴周太祖,/wiki/%E5%90%B3%E5%91%A8%E5%A4%AA%E7%A5%96
后周恭帝,/wiki/%E5%91%A8%E6%81%AD%E5%B8%9D
唐顺宗,/wiki/%E5%94%90%E9%A1%BA%E5%AE%97
元明宗,/wiki/%E5%85%83%E6%98%8E%E5%AE%97
陈理,/wiki/%E9%99%88%E7%90%86_(%E5%85%83%E6%9C%AB)
石遵,/wiki/%E7%9F%B3%E9%81%B5
杨侑,/wiki/%E6%A5%8A%E4%BE%91
孟知祥,/wiki/%E5%AD%9F%E7%9F%A5%E7%A5%A5
桓玄,/wiki/%E6%A1%93%E7%8E%84
耶律雅里,/wiki/%E8%80%B6%E5%BE%8B%E9%9B%85%E9%87%8C
